,가츠벤또,고유식탁,수저가,덮당,고기마니밥마니,정밥,밀플랜비,엠마오관 학식,하노이별,오복떡볶이,기꾸스시,담산,미도인,설레임삼겹살,고삼이,미분당,또보겠지 떡볶이집,롤링 파스타,정통집,대포찜닭,신촌부추곱창,카라멘야,정육면체,라구식당,고기 창고,타코로코,보승회관,가화만사성
49,4.141903120474517,3.99596951479134,4.981817081818431,4.81703951906727,3.972558110296004,3.981540782351321,3.1552401582159613,4.340092552651417,4.8295230234491555,3.4836314889014526,3.912863054137862,4.454367301216768,5.344279270111463,5.175499259533267,3.768528287761855,4.971095061351735,4.707591590777007,4.04157860858511,4.020550264697919,4.990526276607125,4.5729471502947,6.625828222127254,4.048593953076803,4.53299202702048,6.359486553068835,4.8595729240971615,5.011022588635399,3.5518698427756124
50,3.193049526375487,2.2476153641774026,4.961805152903537,2.9540523932982388,2.9982011917428326,2.269982779133532,4.946517259420895,4.7175650289242785,4.8511841041126536,5.0980766650092,3.0983687061145795,3.078258827636875,5.184106165371695,5.101720506758717,1.8920987997655723,4.020389222246671,5.129215202125488,4.8464104844794,5.30844979398464,4.916801709461297,4.739436539370942,4.846041395912195,3.10385976220233,1.937928709352366,4.919504614119009,5.012738792385555,5.3263320550440305,4.651343079690019
51,5.017219908585967,5.095143522656202,4.899221888427869,3.376116939087884,2.954642617983756,2.0505266569611966,4.07402438160914,1.9695551567524783,2.9112679602528115,5.32369290288418,4.298640945489965,3.462164862317812,2.3947243265520073,3.0211080298865873,3.015417479593009,5.633870712377979,3.111146720092628,3.0643197658035493,2.081806451569981,4.934338745079404,3.9886299696542364,3.7107220594532855,4.958647811388735,4.9747482980267,1.945713531716577,3.3573781585155555,2.3029742885015008,2.7793211339530544
52,3.4139923365145823,3.246418570999045,3.967754109102253,3.4391977311244912,3.955222825642907,2.896240960491373,4.004566675478175,2.962334442024942,3.925998172566607,3.630126973354498,3.3612063168843194,4.091652514055349,4.161221646013044,2.9850058492329814,4.421052687483586,4.008221454974469,4.775375188610362,3.0163616940128586,3.12763741207683,3.9793115950464215,3.1756305199392334,4.947077152909132,4.224013789367538,4.640132986765346,4.108255856399949,4.035407458450564,3.620984040913458,2.9851455103993465
53,4.183456914080662,3.8118828801435747,5.13055803488642,3.2644608541311437,2.2916609697021366,3.0239906996262804,4.0091243782711325,2.9267435979804506,2.3601275759301736,1.9647297921828137,2.7879178020373874,4.465207991433598,3.7824143558777346,4.11938001211876,3.024713211200798,4.8824310977150285,2.8202416351215103,3.732040702620046,2.882201618316026,4.274744399013872,2.8693426404838434,3.850744010014422,4.559763784712251,3.9346655744535552,2.7931792753340154,3.0069234047686773,2.302600363149154,2.997492552746555
54,4.069643204294078,4.007994938046927,4.964869570450586,5.076683364852526,3.9716948938421663,3.7006016877275676,4.989382157822626,2.9764319634429985,4.421021112274073,4.573096232948318,5.053907957666149,4.8013403271146675,5.140716194288733,3.6191625014751896,5.936913229332453,3.7169949927179737,4.636545286117993,4.022496808586583,5.020489194350093,4.827180001228496,3.9720372835373663,4.432485191281332,5.136489450086825,4.33044610854907,4.374816000278635,4.054990953058614,3.530895213033482,4.758757791143028
55,4.025271740806784,2.136657899837387,4.935403139171414,3.744731059117703,3.9757666388638055,2.964355946930137,2.918353913176864,1.0124079410116729,1.8167718871150664,1.555881994924844,2.1822190169588827,2.802249129248014,3.1200751036440693,2.1096752445074385,5.621134985143495,3.986940092162127,0.8005630118485294,1.9889613772412431,1.6406184775741004,-0.9038950730174545,4.827292855973422,3.9874010373557653,4.181956549277754,4.830660746656484,4.021810515429681,3.4452257000707873,3.6803781899296024,0.908712374691603
56,4.012958995715643,4.948965377325604,4.926230001897435,4.526993059398442,1.087738170404847,3.392168054476035,4.762710908180279,4.419464114822731,3.519060777515905,3.0602185016870527,4.943290999173942,5.049050740999256,4.965445385106644,3.96837873566837,3.990446083781297,2.036598698347553,2.6946589239662524,3.037794442077546,4.019027331081186,3.986001588852927,2.986471870024834,4.026104436278386,2.9043781526876287,2.6027272770755867,2.850445349742008,1.5632871048853318,4.169689879977277,5.515489367814246
57,4.062100060584759,2.692177884406589,4.925156869877289,3.8703264095253873,2.9860354602319776,4.03548125401905,3.0172487161378085,2.5086577241948547,3.9352103019863156,2.325821683138242,3.967814315355712,3.136303353124549,3.5460750917806476,3.826855676514699,3.9294995587198036,4.019032460190853,3.071546823755669,4.06362934936221,3.4404398010156947,2.998233389678008,3.392876905949133,4.09170184380493,3.3173866772918985,3.82640460119711,4.215847684185253,2.535456646687882,3.2035112913587978,2.866034985351905
58,4.86650170733136,3.6979116547484714,5.487117075137157,3.9609604783306027,4.5563160684056765,3.2724876732798838,3.6044971471867937,3.7391435303371554,3.5098585737949044,2.7130948313291796,4.368501261922787,4.578094473476252,4.931873764168538,4.251358773915921,3.2574088364670635,4.9096460648003575,4.613298511261802,4.948636087322333,4.692420326456196,4.565545155142786,6.4350680088626255,4.9769122539608,4.731024688029421,4.205378225779378,4.920375763190426,4.891931524097897,5.311509018199738,4.425447262424476
59,4.313754264243996,4.891787882453447,5.176175486331073,4.767938593052563,4.482560288967397,1.2899010449044208,4.642217110275184,2.0719007982353554,4.6207200647344955,5.131573774356567,5.052290128467578,4.987110809212963,4.938238033913163,4.933149793912493,5.123732063090879,4.941771447097281,5.079852808862606,5.177227061369689,4.667507846959151,4.9884587099710656,5.012928944588489,4.71909292696938,5.0748355529809945,5.123643068385123,4.964572599194963,5.093299884643759,5.238739403459678,4.97503968247201
60,3.991553313409752,3.9315579576337023,5.064103992785921,3.088146708150422,5.025439284159485,4.076460858869395,3.0048336583212567,3.9469864161841017,1.0654157950479035,-1.4050119134351162,4.996756792722026,7.198306370691749,5.7806571261775614,4.028758237452573,3.966348882956921,3.017924510989415,4.923098875530604,4.011985484397622,4.511867679895653,5.0752287516025785,4.8907981044396225,3.4545739727217093,2.420797633052608,2.926314367461899,3.9497646942907045,2.0765771498673056,5.012688011416628,6.0477682092765015
